country,si_code,si_name,dimension,transferability,si_weight,capability_score,ambition_score,alignment_gap
Kenya,1.1,Mobile Internet Penetration,D1: Infrastructure Foundation,high,0.09,6,7,1
Kenya,1.2,Mobile Money Penetration,D1: Infrastructure Foundation,conditional,0.09,8,8,0
Kenya,1.3,Smartphone Penetration,D1: Infrastructure Foundation,high,0.07,5,6,1
Kenya,2.1,E-Government Development Index,D2: State Capacity for Digital Governance,conditional,0.1,7,7,0
Kenya,2.2,Regulatory Maturity,D2: State Capacity for Digital Governance,conditional,0.1,6,7,1
Kenya,2.3,Government ICT Budget Percent,D2: State Capacity for Digital Governance,low,0.1,4,6,2
Kenya,3.1,National Digital ID Coverage,D3: Digital Public Stack Maturity,conditional,0.1,6,7,1
Kenya,3.2,Government Services Digitized,D3: Digital Public Stack Maturity,conditional,0.1,6,7,1
Kenya,3.3,Payment Interoperability,D3: Digital Public Stack Maturity,conditional,0.1,7,7,0
Kenya,4.1,Domestic vs Donor Funding Ratio,D4: Political Economy and Sustainability,low,0.05,5,6,1
Kenya,4.2,Private Sector Co-Investment,D4: Political Economy and Sustainability,high,0.05,7,7,0
Kenya,4.3,Political Commitment Durability,D4: Political Economy and Sustainability,low,0.05,6,7,1
Rwanda,1.1,Mobile Internet Penetration,D1: Infrastructure Foundation,high,0.09,5,8,3
Rwanda,1.2,Mobile Money Penetration,D1: Infrastructure Foundation,conditional,0.09,6,9,3
Rwanda,1.3,Smartphone Penetration,D1: Infrastructure Foundation,high,0.07,4,7,3
Rwanda,2.1,E-Government Development Index,D2: State Capacity for Digital Governance,conditional,0.1,6,9,3
Rwanda,2.2,Regulatory Maturity,D2: State Capacity for Digital Governance,conditional,0.1,7,8,1
Rwanda,2.3,Government ICT Budget Percent,D2: State Capacity for Digital Governance,low,0.1,6,8,2
Rwanda,3.1,National Digital ID Coverage,D3: Digital Public Stack Maturity,conditional,0.1,9,9,0
Rwanda,3.2,Government Services Digitized,D3: Digital Public Stack Maturity,conditional,0.1,9,9,0
Rwanda,3.3,Payment Interoperability,D3: Digital Public Stack Maturity,conditional,0.1,9,9,0
Rwanda,4.1,Domestic vs Donor Funding Ratio,D4: Political Economy and Sustainability,low,0.05,4,7,3
Rwanda,4.2,Private Sector Co-Investment,D4: Political Economy and Sustainability,high,0.05,6,8,2
Rwanda,4.3,Political Commitment Durability,D4: Political Economy and Sustainability,low,0.05,9,10,1
Tanzania,1.1,Mobile Internet Penetration,D1: Infrastructure Foundation,high,0.09,4,6,2
Tanzania,1.2,Mobile Money Penetration,D1: Infrastructure Foundation,conditional,0.09,6,8,2
Tanzania,1.3,Smartphone Penetration,D1: Infrastructure Foundation,high,0.07,3,5,2
Tanzania,2.1,E-Government Development Index,D2: State Capacity for Digital Governance,conditional,0.1,4,6,2
Tanzania,2.2,Regulatory Maturity,D2: State Capacity for Digital Governance,conditional,0.1,2,6,4
Tanzania,2.3,Government ICT Budget Percent,D2: State Capacity for Digital Governance,low,0.1,3,5,2
Tanzania,3.1,National Digital ID Coverage,D3: Digital Public Stack Maturity,conditional,0.1,3.5,7.5,4.0
Tanzania,3.2,Government Services Digitized,D3: Digital Public Stack Maturity,conditional,0.1,2,7,5
Tanzania,3.3,Payment Interoperability,D3: Digital Public Stack Maturity,conditional,0.1,5,8,3
Tanzania,4.1,Domestic vs Donor Funding Ratio,D4: Political Economy and Sustainability,low,0.05,3,5,2
Tanzania,4.2,Private Sector Co-Investment,D4: Political Economy and Sustainability,high,0.05,3,6,3
Tanzania,4.3,Political Commitment Durability,D4: Political Economy and Sustainability,low,0.05,3,7,4
