si_code,si_name,transferability,kenya_capability,rwanda_capability,divergence
3.1,National Digital ID Coverage,conditional,6,9,3
3.2,Government Services Digitized,conditional,6,9,3
4.3,Political Commitment Durability,low,6,9,3
1.2,Mobile Money Penetration,conditional,8,6,2
2.3,Government ICT Budget Percent,low,4,6,2
3.3,Payment Interoperability,conditional,7,9,2
1.1,Mobile Internet Penetration,high,6,5,1
1.3,Smartphone Penetration,high,5,4,1
2.1,E-Government Development Index,conditional,7,6,1
2.2,Regulatory Maturity,conditional,6,7,1
4.1,Domestic vs Donor Funding Ratio,low,5,4,1
4.2,Private Sector Co-Investment,high,7,6,1
